node_1,node_2,score
DB01620,DB01620,0.15897
DB01620,ENTREZ:510296,0.07913
DB01620,ENTREZ:458542,0.07542
DB01620,DB02709,0.00927
DB01620,DB00366,0.00902
DB01620,DB00737,0.00902
DB01620,DB01708,0.00875
DB01620,DB01026,0.00848
DB01620,DB00836,0.00844
DB01620,DB00257,0.00835
DB01620,ENTREZ:34451,0.00548
DB01620,ENTREZ:3269,0.00437
DB01620,ENTREZ:3511138,0.00404
DB01620,ENTREZ:1131,0.00301
DB01620,ENTREZ:1128,0.00292
DB01620,ENTREZ:178628,0.00288
DB01620,ENTREZ:1129,0.00287
DB01620,ENTREZ:1132,0.00286
DB01620,ENTREZ:1133,0.00281
DB01620,ENTREZ:452073,0.00268
DB01620,ENTREZ:31234,0.0026
DB01620,ENTREZ:487738,0.00259
DB01620,ENTREZ:532060,0.00258
DB01620,ENTREZ:27545517,0.00241
DB01620,ENTREZ:177990,0.0021
DB01620,ENTREZ:578119,0.00202
DB01620,DB00321,0.002
DB01620,ENTREZ:179888,0.00196
DB01620,ENTREZ:36431,0.00195
DB01620,ENTREZ:181432,0.00189
DB01620,DB00370,0.00186
DB01620,DB00334,0.00185
DB01620,DB00363,0.00182
DB01620,ENTREZ:32324,0.0018
DB01620,DB00408,0.0018
DB01620,DB00477,0.00178
DB01620,DB00540,0.00177
DB01620,DB00458,0.00177
DB01620,DB00543,0.00176
DB01620,DB01224,0.00174
DB01620,DB06148,0.00174
DB01620,DB01238,0.00171
DB01620,ENTREZ:3356,0.00166
DB01620,DB01151,0.00166
DB01620,ENTREZ:307341,0.00163
DB01620,DB01069,0.00162
DB01620,ENTREZ:179002,0.00161
DB01620,ENTREZ:3757,0.00159
DB01620,ENTREZ:291988,0.00159
DB01620,ENTREZ:387018,0.00158
DB00521,DB00521,0.15204
DB00521,ENTREZ:178200,0.05462
DB00521,ENTREZ:29371,0.05401
DB00521,ENTREZ:153,0.04554
DB00521,ENTREZ:178896,0.00309
DB00521,DB00368,0.00296
DB00521,DB00370,0.00294
DB00521,DB01151,0.00286
DB00521,DB00571,0.00279
DB00521,DB00960,0.00278
DB00521,DB01407,0.00278
DB00521,DB01136,0.00277
DB00521,DB01288,0.00273
DB00521,DB01064,0.00273
DB00521,DB01001,0.00272
DB00521,DB01580,0.00272
DB00521,DB00983,0.00272
DB00521,DB00938,0.00272
DB00521,DB00841,0.00267
DB00521,DB00598,0.00262
DB00521,DB00264,0.0026
DB00521,DB00335,0.0026
DB00521,DB01193,0.0026
DB00521,DB00195,0.0026
DB00521,ENTREZ:3350,0.00237
DB00521,DB00668,0.00228
DB00521,DB00248,0.00226
DB00521,DB06262,0.00223
DB00521,DB01363,0.0022
DB00521,DB06216,0.0022
DB00521,DB00373,0.00218
DB00521,DB00852,0.00216
DB00521,DB01182,0.0021
